smiles,tanimoto_coefficient,id
Oc1c(C(C)(C)C)cc(O)cc1,0.24324324324324326,4252498
O1[C@@H](O[C@H]2[C@@H](C=CC=CC(=O)NC[C@@H](CCC=CC=C(CC(=CC2)C)C)C)C)C[C@@H]([C@@H](NC)[C@@H]1C)O,0.15476190476190477,4254403
Brc1sccc1Cn2c3c([C@@]4([C@@](N(C[C@@]4(C3)[H])C(=O)c5ccccc5)(C(OC)=O)Cc6ccccc6)[H])cc2C(=O)N(C)C,0.23958333333333334,4266427
Fc1cc(Cn2c3c([C@@]4([C@@](N(C[C@@]4(C3)[H])C(=O)c5ccccc5)(C(OC)=O)Cc6ccccc6)[H])cc2C(=O)N(C)C)cc(F)c1F,0.24731182795698925,4266431
O(C(=O)[C@@]1(N(CC=2[C@@]1([C@@H](C(=O)C2)CC(=O)C(=O)N(C)C)[H])C(=O)c3ccccc3)Cc4ccccc4)C,0.225,4266487
O(C(=O)[C@@]1(N(C[C@]2([C@@]1([C@@H](C(=O)C2)CC(=O)C(=O)N(C)C)[H])[H])C(=O)c3ccccc3)Cc4ccccc4)C,0.23595505617977527,4266498
Fc1ccc(C[C@]2(N(CC=3[C@@]2([C@@H](C(=O)C3)CC(=O)C(=O)N(C)C)[H])C(=O)c4ccccc4)C(OC)=O)cc1,0.24719101123595505,4266502
Fc1ccc(C[C@]2(N(C[C@]3([C@@]2([C@@H](C(=O)C3)CC(=O)C(=O)N(C)C)[H])[H])C(=O)c4ccccc4)C(OC)=O)cc1,0.24444444444444444,4266511
Fc1ccc(C[C@]2(N(C[C@]3([C@@]2(c4c(n(c(c4)C(=O)N(C)C)Cc5oc(cc5)C)C3)[H])[H])C(=O)c6ccccc6)C(OC)=O)cc1,0.2376237623762376,4266514
Fc1ccc(C[C@]2(N(C[C@]3([C@@]2(c4c(n(c(c4)C(=O)N(C)C)Cc5cc(F)c(F)c(F)c5)C3)[H])[H])C(=O)c6ccccc6)C(OC)=O)cc1,0.24742268041237114,4266516
Fc1ccc(C[C@]2(N(C[C@]3([C@@]2(c4c(n(c(c4)C(=O)N(C)C)Cc5cnc(cc5)C(F)(F)F)C3)[H])[H])C(=O)c6ccccc6)C(OC)=O)cc1,0.24509803921568626,4266520
