smiles,tanimoto_coefficient,id
O(C(=O)N1C[C@@]2(CN(CC2)C(=O)NC(C)C)CCC1)c3ccccc3,0.6470588235294118,4238711
O=C(N(C)C)c1ccc(-c2nc(N(C)C)c3c(n2)cccc3)cc1,0.3125,4238732
o1nc(c(C(=O)N2C[C@@]3(CN(CC3)Cc4ccc(cc4)C#N)CCC2)c1C)C,0.578125,4239102
FC(F)(F)c1cc(C(=O)N2C[C@@]3(CN(CC3)C(=O)Nc4cc(ccc4)C#N)CCC2)cc(c1)C(F)(F)F,0.6086956521739131,4239205
s1c(ncc1)CN2CC3(C2)CCN(CC3)C(=O)COC,0.5087719298245614,4239410
O=C(N1C[C@]2(CC1)CNCCC2)NC(C)C,0.5283018867924528,4239858
n1c(N2CCN(CC2)C)c3c(nc1-c4ccc(N(C)C)cc4)cccc3,0.6041666666666666,4239879
n1c2c3ncccc3ccc2ccc1,0.36363636363636365,4252490
Nc1ccc(C(c2ccc(N)cc2)=C3C=CC(=N)C=C3)cc1,0.3055555555555556,4252557
OC(c1ccccc1)(c2ccccc2)CCN3CCCCC3,0.631578947368421,4252736
P(=O)(O)(O)CC[C@H](N)C(=O)O,0.34375,4252812
Oc1ccc(C(c2ccc(O)cc2)(CCC(=O)O)C)cc1,0.40540540540540543,4252846
S(=O)(=O)(O)c1c2c(cc(S(=O)(=O)O)c1)ccc(O)c2/N=N\c3c4c(ccc3)cccc4,0.2542372881355932,4252996
S(C1=NCCN1)CC(=O)O,0.3333333333333333,4253047
Clc1ccc(NC(NC#N)=N)cc1,0.3181818181818182,4253264
O[C@@]1([C@@]2(O)C(O)(O)c3c(C2=O)cccc3)C(O)(O)c4c(C1=O)cccc4,0.2631578947368421,4253540
O=C(O)CC(n1cccc1)CC(=O)O,0.25,4253669
S(CC(=O)c1ccccc1)CC(=O)O,0.35,4253860
Clc1nc(SCC(=O)O)nc(Nc2c(c(ccc2)C)C)c1,0.3225806451612903,4254149
O=C(O)C(=Cc1ccc(-c2ccccc2)cc1)C(=O)O,0.2765957446808511,4254398
Clc1cc2C(N3CCNCC3)=Nc4c(Oc2cc1)cccc4,0.3076923076923077,11110675
O=C(O)[C@]1(N)C[C@@H](CC1)C(=O)O,0.68,11110684
P(=O)(O)(O)CCCCC[C@@H](N)C(=O)O,0.3055555555555556,11110687
S(=O)(=O)(NC(=O)NC1CCCCC1)c2ccc(cc2)C(=O)C,0.5084745762711864,11110689
N1(CC(=C[C@@H]2c3c4c(C[C@H]21)c[nH]c4ccc3)C)C,0.2542372881355932,11110694
N[C@H]1[C@@H]([C@@H]2C[C@H]1CC2)C(C)C,0.15217391304347827,11110700
P(=O)(O)(O)CC[C@@H](N)C(=O)O,0.34375,11110720
S(c1n(cnc1N(=O)=O)C)c2ncnc3nc[nH]c23,0.22033898305084745,11110740
