2C19-20,2C19-20all,2C19-20ligand,2C19-20docked,2C19-30,2C19-30all,2C19-30ligand,2C19-30docked,2C19-40,2C19-40all,2C19-40ligand,2C19-40docked,2C19-50,2C19-50all,2C19-50ligand,2C19-50docked,2C19-60,2C19-60all,2C19-60ligand,2C19-60docked,2C19-70,2C19-70all,2C19-70ligand,2C19-70docked,2C19-80,2C19-80all,2C19-80ligand,2C19-80docked,2C9-20,2C9-20all,2C9-20ligand,2C9-20docked,2C9-30,2C9-30all,2C9-30ligand,2C9-30docked,2C9-40,2C9-40all,2C9-40ligand,2C9-40docked,2C9-50,2C9-50all,2C9-50ligand,2C9-50docked,2C9-60,2C9-60all,2C9-60ligand,2C9-60docked,2C9-70,2C9-70all,2C9-70ligand,2C9-70docked,2C9-80,2C9-80all,2C9-80ligand,2C9-80docked,2D6-20,2D6-20all,2D6-20ligand,2D6-20docked,2D6-30,2D6-30all,2D6-30ligand,2D6-30docked,2D6-40,2D6-40all,2D6-40ligand,2D6-40docked,2D6-50,2D6-50all,2D6-50ligand,2D6-50docked,2D6-60,2D6-60all,2D6-60ligand,2D6-60docked,2D6-70,2D6-70all,2D6-70ligand,2D6-70docked,2D6-80,2D6-80all,2D6-80ligand,2D6-80docked,1A2-20,1A2-20all,1A2-20ligand,1A2-20docked,1A2-30,1A2-30all,1A2-30ligand,1A2-30docked,1A2-40,1A2-40all,1A2-40ligand,1A2-40docked,1A2-50,1A2-50all,1A2-50ligand,1A2-50docked,1A2-60,1A2-60all,1A2-60ligand,1A2-60docked,1A2-70,1A2-70all,1A2-70ligand,1A2-70docked,1A2-80,1A2-80all,1A2-80ligand,1A2-80docked,3A4-20,3A4-20all,3A4-20ligand,3A4-20docked,3A4-30,3A4-30all,3A4-30ligand,3A4-30docked,3A4-40,3A4-40all,3A4-40ligand,3A4-40docked,3A4-50,3A4-50all,3A4-50ligand,3A4-50docked,3A4-60,3A4-60all,3A4-60ligand,3A4-60docked,3A4-70,3A4-70all,3A4-70ligand,3A4-70docked,3A4-80,3A4-80all,3A4-80ligand,3A4-80docked
20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,
25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,
20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,
25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,
0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,
1200,,,,13490,,,,28454,,,,34444,,,,37164,,,,39429,,,,40524,,,,1230,,,,13110,,,,24840,,,,29469,,,,32616,,,,35540,,,,37109,,,,1860,,,,13944,,,,29263,,,,35313,,,,38323,,,,39963,,,,40783,,,,1189,,,,11955,,,,24365,,,,29321,,,,32651,,,,35680,,,,36725,,,,1340,,,,13116,,,,26271,,,,31356,,,,33718,,,,35454,,,,36354,,,
4680,,,,4680,,,,4680,,,,4680,,,,4680,,,,4680,,,,4680,,,,4656,,,,4656,,,,4656,,,,4656,,,,4656,,,,4656,,,,4656,,,,4539,,,,4539,,,,4539,,,,4539,,,,4539,,,,4539,,,,4539,,,,4612,,,,4612,,,,4612,,,,4612,,,,4612,,,,4612,,,,4612,,,,4558,,,,4558,,,,4558,,,,4558,,,,4558,,,,4558,,,,4558,,,
,[0.97567568 0.93243243 0.88378378 0.94594595 0.8972973 ],,,,[0.84329897 0.70137457 0.74742268 0.83436426 0.82508591],,,,[0.75891759 0.64083641 0.70128273 0.74661747 0.82091388],,,,[0.76789084 0.6431993  0.69981129 0.75148788 0.80908827],,,,[0.79781923 0.63294798 0.74973726 0.78662462 0.82052293],,,,[0.81151079 0.64772182 0.79784173 0.82012232 0.8401487 ],,,,[0.7849252  0.64982739 0.81081703 0.81919669 0.84394061],,,,[0.97247706 0.98165138 0.9266055  0.97477064 0.94495413],,,,[0.92031334 0.90788763 0.93976229 0.83873582 0.89438142],,,,[0.91323792 0.92352415 0.91681574 0.82364341 0.90966011],,,,[0.91600496 0.9235732  0.91563275 0.82828784 0.91836228],,,,[0.92815025 0.92552146 0.91711259 0.79087037 0.95631757],,,,[0.9324192  0.91654423 0.89166422 0.84533255 0.94279557],,,,[0.92655945 0.91875058 0.88462254 0.87867237 0.95528077],,,,[0.96829971 0.97838617 0.98991354 0.98847262 0.94380403],,,,[0.95010395 0.96486486 0.95426195 0.97192764 0.97005614],,,,[0.92715363 0.97240695 0.96724566 0.98054591 0.97042184],,,,[0.90227161 0.97589278 0.96943695 0.97720029 0.96739397],,,,[0.90071029 0.97657372 0.97015038 0.97279528 0.96712764],,,,[0.90864054 0.971949   0.96699454 0.96939891 0.96837887],,,,[0.92121819 0.97083006 0.96582541 0.97004361 0.96782727],,,,[0.9754902  0.92892157 0.96323529 0.96314496 0.97297297],,,,[0.93166144 0.86269592 0.91504702 0.93197492 0.93479624],,,,[0.90579948 0.8482962  0.8931848  0.94266055 0.91448231],,,,[0.87882111 0.83906785 0.87030436 0.93076501 0.90471621],,,,[0.88313298 0.84235965 0.900471   0.93430838 0.90889936],,,,[0.87816275 0.83724641 0.90289492 0.93298382 0.90711192],,,,[0.90092982 0.86650432 0.90867833 0.94465353 0.92096524],,,,[0.96137339 0.94635193 0.97854077 0.96781116 0.93133047],,,,[0.85260347 0.8694259  0.91108144 0.83497997 0.87366453],,,,[0.84199409 0.86903253 0.88873239 0.83140845 0.88211268],,,,[0.85170198 0.86965837 0.87941912 0.82061659 0.87322938],,,,[0.86733657 0.87399797 0.86891724 0.81551315 0.87533875],,,,[0.87590999 0.86453392 0.84688362 0.80882515 0.87457253],,,,[0.87967798 0.86671744 0.84212817 0.82025895 0.87618322],,
,0.691025641025641,,,,0.7497863247863248,,,,0.7717948717948718,,,,0.7858974358974359,,,,0.8066239316239316,,,,0.8211538461538461,,,,0.7997863247863248,,,,0.6937285223367697,,,,0.7433419243986255,,,,0.7867268041237113,,,,0.8079896907216495,,,,0.8232388316151202,,,,0.8344072164948454,,,,0.8408505154639175,,,,0.8241903502974224,,,,0.8827935668649483,,,,0.8968935888962326,,,,0.8971139017404715,,,,0.9006389072482925,,,,0.9015201586252478,,,,0.9039435999118749,,,,0.7586730268863834,,,,0.8033391153512576,,,,0.8319601040763226,,,,0.8349956634865568,,,,0.8373807458803122,,,,0.8423677363399826,,,,0.8490893321769297,,,,0.7461605967529619,,,,0.77270732777534,,,,0.8029837648091268,,,,0.8218516893374287,,,,0.8501535761298815,,,,0.8459850811759544,,,,0.862659060991663,,
,0.6938202247191011,,,,0.7707865168539326,,,,0.7662921348314606,,,,0.7898876404494382,,,,0.7938202247191011,,,,0.7876404494382022,,,,0.750561797752809,,,,0.6212510711225364,,,,0.7360754070265638,,,,0.7052270779777207,,,,0.7060839760068551,,,,0.7086546700942588,,,,0.7043701799485861,,,,0.6786632390745502,,,,0.27166666666666667,,,,0.42,,,,0.43166666666666664,,,,0.4766666666666667,,,,0.4666666666666667,,,,0.4666666666666667,,,,0.495,,,,0.771990171990172,,,,0.8024570024570025,,,,0.8285012285012285,,,,0.8171990171990172,,,,0.8265356265356265,,,,0.8334152334152334,,,,0.8378378378378378,,,,0.7333699835074217,,,,0.662451896646509,,,,0.6921385376580539,,,,0.7438152831225948,,,,0.8020890599230346,,,,0.7899945024738868,,,,0.8125343595382079,,
