2C19-30,2C19-30all,2C19-30ligand,2C19-30docked,2C19-40,2C19-40all,2C19-40ligand,2C19-40docked,2C19-50,2C19-50all,2C19-50ligand,2C19-50docked,2C19-60,2C19-60all,2C19-60ligand,2C19-60docked,2C19-70,2C19-70all,2C19-70ligand,2C19-70docked,2C19-80,2C19-80all,2C19-80ligand,2C19-80docked,2C9-30,2C9-30all,2C9-30ligand,2C9-30docked,2C9-40,2C9-40all,2C9-40ligand,2C9-40docked,2C9-50,2C9-50all,2C9-50ligand,2C9-50docked,2C9-60,2C9-60all,2C9-60ligand,2C9-60docked,2C9-70,2C9-70all,2C9-70ligand,2C9-70docked,2C9-80,2C9-80all,2C9-80ligand,2C9-80docked,2D6-30,2D6-30all,2D6-30ligand,2D6-30docked,2D6-40,2D6-40all,2D6-40ligand,2D6-40docked,2D6-50,2D6-50all,2D6-50ligand,2D6-50docked,2D6-60,2D6-60all,2D6-60ligand,2D6-60docked,2D6-70,2D6-70all,2D6-70ligand,2D6-70docked,2D6-80,2D6-80all,2D6-80ligand,2D6-80docked,1A2-30,1A2-30all,1A2-30ligand,1A2-30docked,1A2-40,1A2-40all,1A2-40ligand,1A2-40docked,1A2-50,1A2-50all,1A2-50ligand,1A2-50docked,1A2-60,1A2-60all,1A2-60ligand,1A2-60docked,1A2-70,1A2-70all,1A2-70ligand,1A2-70docked,1A2-80,1A2-80all,1A2-80ligand,1A2-80docked,3A4-30,3A4-30all,3A4-30ligand,3A4-30docked,3A4-40,3A4-40all,3A4-40ligand,3A4-40docked,3A4-50,3A4-50all,3A4-50ligand,3A4-50docked,3A4-60,3A4-60all,3A4-60ligand,3A4-60docked,3A4-70,3A4-70all,3A4-70ligand,3A4-70docked,3A4-80,3A4-80all,3A4-80ligand,3A4-80docked
20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,
25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,
20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,
25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,
0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,
13490,,,,13490,,,,13489,,,,13489,,,,13489,,,,13490,,,,13110,,,,13107,,,,13100,,,,13085,,,,13067,,,,13072,,,,13944,,,,13944,,,,13944,,,,13944,,,,13945,,,,13945,,,,11955,,,,11992,,,,11994,,,,12002,,,,11995,,,,12001,,,,13116,,,,13101,,,,13068,,,,13119,,,,13098,,,,13070,,,
4680,,,,4680,,,,4680,,,,4680,,,,4680,,,,4680,,,,4656,,,,4656,,,,4656,,,,4656,,,,4656,,,,4656,,,,4539,,,,4539,,,,4539,,,,4539,,,,4539,,,,4539,,,,4612,,,,4612,,,,4612,,,,4612,,,,4612,,,,4612,,,,4558,,,,4558,,,,4558,,,,4558,,,,4558,,,,4558,,,
,[0.84982818 0.71580756 0.7556701  0.84123711 0.82646048],,,,[0.78       0.63111111 0.68703704 0.71888889 0.79407407],,,,[0.704596   0.64640474 0.66456635 0.7483321  0.80496848],,,,[0.75018342 0.64673514 0.70616288 0.75449541 0.80807339],,,,[0.81626928 0.64831697 0.79067321 0.78639074 0.81760786],,,,[0.78459441 0.68132243 0.82617587 0.81117928 0.86503067],,,,[0.91950297 0.91166937 0.94381415 0.84602917 0.90491626],,,,[0.88429752 0.90111143 0.91308065 0.80906241 0.89652223],,,,[0.90179071 0.93033016 0.9034695  0.81113598 0.90011192],,,,[0.93144399 0.91524966 0.92008639 0.79967603 0.93034557],,,,[0.92569907 0.9126498  0.90756526 0.8308471  0.93740011],,,,[0.93846557 0.92877717 0.90361446 0.8632792  0.95311682],,,,[0.94656965 0.96340956 0.95031185 0.97067998 0.96714494],,,,[0.92544773 0.97022074 0.96730529 0.98167049 0.96209123],,,,[0.92209922 0.97601476 0.96760968 0.9790855  0.96862826],,,,[0.91670103 0.98247423 0.95979381 0.96741596 0.97566509],,,,[0.91477974 0.97200494 0.96521202 0.96582956 0.97056402],,,,[0.93987603 0.96673554 0.96756198 0.98181818 0.96859504],,,,[0.93416928 0.85329154 0.92037618 0.93949843 0.930721  ],,,,[0.85368315 0.81029263 0.86242852 0.92700975 0.89131898],,,,[0.90833333 0.84433333 0.88333333 0.95498499 0.9033011 ],,,,[0.87722839 0.8045745  0.88698285 0.93676421 0.90444145],,,,[0.892833   0.81744422 0.90500338 0.93204868 0.90196078],,,,[0.86405451 0.83373083 0.92331288 0.92740286 0.9062713 ],,,,[0.85100134 0.87449933 0.92176235 0.84405874 0.86672009],,,,[0.85102157 0.89156968 0.89355663 0.82628442 0.88787965],,,,[0.86924177 0.89098712 0.89327611 0.79599428 0.88065255],,,,[0.85126124 0.87677588 0.87358655 0.80371122 0.87674014],,,,[0.87045861 0.86777844 0.84484812 0.80941036 0.86688505],,,,[0.86143117 0.84228086 0.83864119 0.81649985 0.84531392],,
,0.744017094017094,,,,0.7623931623931623,,,,0.7568376068376068,,,,0.7844017094017094,,,,0.8047008547008547,,,,0.7974358974358975,,,,0.7577319587628866,,,,0.7635309278350515,,,,0.7731958762886598,,,,0.8062714776632303,,,,0.836340206185567,,,,0.8393470790378007,,,,0.8794888742013659,,,,0.8883013879709187,,,,0.8909451421017845,,,,0.898876404494382,,,,0.8944701476096056,,,,0.8957920246750386,,,,0.8081092801387685,,,,0.8176496097137901,,,,0.8237207285342585,,,,0.8252385082393755,,,,0.8330442324371206,,,,0.8388985255854293,,,,0.7630539710399298,,,,0.8025449758666081,,,,0.8192189556823168,,,,0.8394032470381746,,,,0.8426941641070645,,,,0.8321632294866169,,
,0.748314606741573,,,,0.7668539325842697,,,,0.7707865168539326,,,,0.7780898876404494,,,,0.7837078651685393,,,,0.7325842696629213,,,,0.7403598971722365,,,,0.7000856898029134,,,,0.6786632390745502,,,,0.6632390745501285,,,,0.6786632390745502,,,,0.6743787489288775,,,,0.41333333333333333,,,,0.45166666666666666,,,,0.405,,,,0.48,,,,0.49166666666666664,,,,0.4166666666666667,,,,0.7921375921375922,,,,0.8230958230958231,,,,0.802948402948403,,,,0.7803439803439803,,,,0.8093366093366093,,,,0.8196560196560196,,,,0.6069268829026938,,,,0.7020340846619021,,,,0.7652556349642661,,,,0.7757009345794392,,,,0.7905442550852116,,,,0.7778999450247389,,
,0.7413793103448276,,,,0.7596551724137931,,,,0.7482758620689656,,,,0.7882758620689655,,,,0.8175862068965517,,,,0.8372413793103448,,,,0.763542562338779,,,,0.7847520779593007,,,,0.8048151332760103,,,,0.8541129263399255,,,,0.8890799656061908,,,,0.8945256520492978,,,,0.9504950495049505,,,,0.9548108657019548,,,,0.964965727341965,,,,0.9626808834729627,,,,0.9558263518659559,,,,0.9687738004569688,,,,0.8207217694994179,,,,0.813348855258052,,,,0.8401241753977493,,,,0.8606907256499806,,,,0.8517656189367482,,,,0.854093907644548,,,,0.8667396860167944,,,,0.8692953632712669,,,,0.855056589996349,,,,0.8817086527929902,,,,0.8773274917853231,,,,0.8682000730193501,,
,0.827817415730337,,,,0.839221038357226,,,,0.8353744672607517,,,,0.8547543587756683,,,,0.872920089112747,,,,0.8679817900038744,,,,0.8326283388384551,,,,0.8282031199536896,,,,0.8295485161714021,,,,0.8517964281425059,,,,0.8724575192003856,,,,0.8788347660403133,,,,0.8486798679867987,,,,0.8643877464669545,,,,0.8663903698062115,,,,0.863872387238724,,,,0.8602991452991453,,,,0.8679339087754927,,,,0.8903761206438738,,,,0.8974753989887866,,,,0.9027594320958698,,,,0.9036141867340935,,,,0.9132824008260563,,,,0.9101189029012079,,,,0.8555912891407702,,,,0.8883914888902403,,,,0.8924338465361271,,,,0.9090736477821928,,,,0.9160102853314402,,,,0.9157395236400647,,
,0.47838083601846204,,,,0.5148559480306761,,,,0.5066064800335864,,,,0.5558417679157077,,,,0.5932719044404615,,,,0.5700739646338823,,,,0.45421219776889726,,,,0.44460125141727747,,,,0.45055028773927597,,,,0.5018229822559389,,,,0.5658204108406694,,,,0.570871232777625,,,,0.415224866905602,,,,0.4611267713328279,,,,0.4518823506881,,,,0.509343864518728,,,,0.4979333945522502,,,,0.4753482242597297,,,,0.6117163036928414,,,,0.633375873203035,,,,0.6427147491559239,,,,0.6444502206590422,,,,0.6613095743780502,,,,0.6734419903522111,,,,0.49632396681492225,,,,0.5833452808822139,,,,0.622094064545383,,,,0.663045329722084,,,,0.670801483261149,,,,0.6488018436089972,,
