2C19-30,2C19-30ligand,2C19-40,2C19-40ligand,2C19-50,2C19-50ligand,2C19-60,2C19-60ligand,2C19-70,2C19-70ligand,2C19-80,2C19-80ligand,2C9-30,2C9-30ligand,2C9-40,2C9-40ligand,2C9-50,2C9-50ligand,2C9-60,2C9-60ligand,2C9-70,2C9-70ligand,2C9-80,2C9-80ligand,2D6-30,2D6-30ligand,2D6-40,2D6-40ligand,2D6-50,2D6-50ligand,2D6-60,2D6-60ligand,2D6-70,2D6-70ligand,2D6-80,2D6-80ligand,1A2-30,1A2-30ligand,1A2-40,1A2-40ligand,1A2-50,1A2-50ligand,1A2-60,1A2-60ligand,1A2-70,1A2-70ligand,1A2-80,1A2-80ligand,3A4-30,3A4-30ligand,3A4-40,3A4-40ligand,3A4-50,3A4-50ligand,3A4-60,3A4-60ligand,3A4-70,3A4-70ligand,3A4-80,3A4-80ligand
20669,,20669,,20669,,20669,,20669,,20669,,11525,,11525,,11525,,11525,,11525,,11525,,6459,,6459,,6459,,6459,,6459,,6459,,16249,,16249,,16249,,16249,,16249,,16249,,15368,,15368,,15368,,15368,,15368,,15368,
25079,,25079,,25079,,25079,,25079,,25079,,30873,,30873,,30873,,30873,,30873,,30873,,39207,,39207,,39207,,39207,,39207,,39207,,25477,,25477,,25477,,25477,,25477,,25477,,25815,,25815,,25815,,25815,,25815,,25815,
20669,,20669,,20669,,20669,,20669,,20669,,11525,,11525,,11525,,11525,,11525,,11525,,6459,,6459,,6459,,6459,,6459,,6459,,16249,,16249,,16249,,16249,,16249,,16249,,15368,,15368,,15368,,15368,,15368,,15368,
25079,,25079,,25079,,25079,,25079,,25079,,30873,,30873,,30873,,30873,,30873,,30873,,39207,,39207,,39207,,39207,,39207,,39207,,25477,,25477,,25477,,25477,,25477,,25477,,25815,,25815,,25815,,25815,,25815,,25815,
0.6156633557328691,,0.6156633557328691,,0.6156633557328691,,0.6156633557328691,,0.6156633557328691,,0.6156633557328691,,0.6868582600195503,,0.6868582600195503,,0.6868582600195503,,0.6868582600195503,,0.6868582600195503,,0.6868582600195503,,0.5512369688341652,,0.5512369688341652,,0.5512369688341652,,0.5512369688341652,,0.5512369688341652,,0.5512369688341652,,0.6769454157333774,,0.6769454157333774,,0.6769454157333774,,0.6769454157333774,,0.6769454157333774,,0.6769454157333774,,0.7414807387827167,,0.7414807387827167,,0.7414807387827167,,0.7414807387827167,,0.7414807387827167,,0.7414807387827167,
13490,,13490,,13489,,13489,,13489,,13490,,13110,,13107,,13100,,13085,,13067,,13072,,13944,,13944,,13944,,13944,,13945,,13945,,11955,,11992,,11994,,12002,,11995,,12001,,13116,,13101,,13068,,13119,,13098,,13070,
4680,,4680,,4680,,4680,,4680,,4680,,4656,,4656,,4656,,4656,,4656,,4656,,4539,,4539,,4539,,4539,,4539,,4539,,4612,,4612,,4612,,4612,,4612,,4612,,4558,,4558,,4558,,4558,,4558,,4558,
,[0.8347079  0.68694158 0.70549828 0.81993127 0.80996564],,[0.75444444 0.63555556 0.68962963 0.71444444 0.77333333],,[0.71608599 0.65715345 0.67309118 0.74610823 0.80311457],,[0.73330888 0.64966985 0.67608217 0.74568807 0.78752294],,[0.82047686 0.65953717 0.80154278 0.79340582 0.83970537],,[0.80163599 0.66462168 0.81970007 0.80470348 0.85378323],,[0.93462993 0.92544571 0.94111291 0.85035116 0.91058887],,[0.90538615 0.90966087 0.92504987 0.79908806 0.89139111],,[0.91997762 0.93900392 0.91158366 0.808338   0.88947957],,[0.91875843 0.91792657 0.90901728 0.78347732 0.93277538],,[0.93901465 0.93315579 0.902504   0.82844965 0.91981886],,[0.94501178 0.93689447 0.89078051 0.84887376 0.92928235],,[0.9430235  0.96277812 0.93843594 0.95840266 0.9594426 ],,[0.93251406 0.95896688 0.94272027 0.95980004 0.95042699],,[0.92599426 0.9704797  0.95592456 0.9669879  0.95735083],,[0.91132192 0.97916667 0.96039604 0.9585396  0.94554455],,[0.91889667 0.97179909 0.95677233 0.95244957 0.96582956],,[0.92623967 0.95103306 0.96528926 0.96673554 0.94793388],,[0.91943574 0.83887147 0.91410658 0.93103448 0.930721  ],,[0.86411033 0.80961991 0.87689203 0.9061554  0.89771198],,[0.897      0.82766667 0.876      0.95298433 0.9093031 ],,[0.8822738  0.8139926  0.88092836 0.92364615 0.91184388],,[0.88945233 0.81778229 0.9127789  0.94219067 0.9168357 ],,[0.87393526 0.82793867 0.92944785 0.93081118 0.9127471 ],,[0.91775701 0.92256342 0.90867824 0.82963952 0.85897436],,[0.88053348 0.90519444 0.9020721  0.80868578 0.87595799],,[0.90643777 0.90643777 0.88898426 0.80085837 0.87406983],,[0.90721948 0.91243839 0.90171064 0.8028414  0.84860789],,[0.89398451 0.89874926 0.86986301 0.80345444 0.84901727],,[0.88690115 0.87170155 0.86320898 0.81649985 0.85228996]
,0.7329059829059829,,0.7502136752136752,,0.7737179487179487,,0.7735042735042735,,0.7841880341880342,,0.7835470085470085,,0.7484965635738832,,0.7781357388316151,,0.7678264604810997,,0.7993986254295533,,0.803479381443299,,0.8202319587628866,,0.870896673276052,,0.8823529411764706,,0.8867591980612469,,0.8942498347653668,,0.8977748402731879,,0.8854373209958141,,0.794232437120555,,0.8202515177797051,,0.8237207285342585,,0.8258889852558543,,0.8196010407632264,,0.80724197745013,,0.7360105332455563,,0.7963572525784507,,0.8101821373710775,,0.8191792846170727,,0.8424402018872065,,0.8321263989466754
,0.7617977528089888,,0.7685393258426966,,0.8033707865168539,,0.7702247191011236,,0.7567415730337078,,0.7280898876404495,,0.699228791773779,,0.7197943444730077,,0.6383890317052271,,0.6255355612682091,,0.6598114824335904,,0.6975149957155099,,0.3983333333333333,,0.4716666666666667,,0.4716666666666667,,0.5,,0.5083333333333333,,0.44666666666666666,,0.7818181818181819,,0.8393120393120393,,0.8113022113022113,,0.7921375921375922,,0.8098280098280098,,0.7842751842751843,,0.576690489279824,,0.7487630566245189,,0.7498625618471688,,0.7757009345794392,,0.805937328202309,,0.7910940076965366
,0.7151724137931035,,0.7389655172413793,,0.7555172413793103,,0.7755172413793103,,0.8010344827586207,,0.8175862068965517,,0.764975637718544,,0.7976497563771855,,0.8111206649469762,,0.8575523072513614,,0.8515333906563485,,0.8612783032387503,,0.9428789032749428,,0.9449098756029449,,0.94998730642295,,0.9543031226199543,,0.9570957095709571,,0.9522721502919522,,0.8040357004268529,,0.8051998447807528,,0.8335273573923166,,0.8525417151726814,,0.8273185875048507,,0.8253783469150174,,0.8418553688823959,,0.8279766252739226,,0.8502556610664719,,0.8480642804967129,,0.866691015339664,,0.8593864134404675
,0.8194507942657885,,0.8291049012010849,,0.836881441301821,,0.8430124951569159,,0.8547658853157691,,0.8654881828748546,,0.8157435917461736,,0.8202196498089356,,0.8155970914095787,,0.8325907620547182,,0.8551422354944405,,0.860227626893483,,0.8290513666751291,,0.8543242785817042,,0.8524667851400525,,0.8544740627908944,,0.8571987391046796,,0.836862147753237,,0.8723439917852025,,0.8889690410062936,,0.9003259794877956,,0.9030230569229406,,0.9031920056367089,,0.8966215024422242,,0.8295043070647428,,0.8828192671223443,,0.8887413556521917,,0.8921348431920026,,0.9114293929309605,,0.9121600539070787
,0.46416952737132583,,0.494850794325299,,0.544660752648173,,0.5348454220422145,,0.5503344839817115,,0.5431370606704088,,0.4214053760878701,,0.47617261316742643,,0.4244887208123618,,0.47523237629297205,,0.4953998214802087,,0.5400816353718801,,0.3814788074397336,,0.45065220223175334,,0.4644026273945439,,0.5003618541343892,,0.5154691157205092,,0.4494721628509647,,0.5842218164568229,,0.6406011402478128,,0.6434589437872389,,0.6462310691431046,,0.635448101107988,,0.6093142975846471,,0.4375517832509133,,0.5760074769606756,,0.6027489674421211,,0.6233093282316452,,0.6718945794515203,,0.6501821882468605
