2C19-10,2C19-10all,2C19-10ligand,2C19-10docked,2C19-20,2C19-20all,2C19-20ligand,2C19-20docked,2C19-30,2C19-30all,2C19-30ligand,2C19-30docked,2C19-40,2C19-40all,2C19-40ligand,2C19-40docked,2C19-50,2C19-50all,2C19-50ligand,2C19-50docked,2C19-60,2C19-60all,2C19-60ligand,2C19-60docked,2C19-70,2C19-70all,2C19-70ligand,2C19-70docked,2C19-80,2C19-80all,2C19-80ligand,2C19-80docked,2C9-10,2C9-10all,2C9-10ligand,2C9-10docked,2C9-20,2C9-20all,2C9-20ligand,2C9-20docked,2C9-30,2C9-30all,2C9-30ligand,2C9-30docked,2C9-40,2C9-40all,2C9-40ligand,2C9-40docked,2C9-50,2C9-50all,2C9-50ligand,2C9-50docked,2C9-60,2C9-60all,2C9-60ligand,2C9-60docked,2C9-70,2C9-70all,2C9-70ligand,2C9-70docked,2C9-80,2C9-80all,2C9-80ligand,2C9-80docked,2D6-10,2D6-10all,2D6-10ligand,2D6-10docked,2D6-20,2D6-20all,2D6-20ligand,2D6-20docked,2D6-30,2D6-30all,2D6-30ligand,2D6-30docked,2D6-40,2D6-40all,2D6-40ligand,2D6-40docked,2D6-50,2D6-50all,2D6-50ligand,2D6-50docked,2D6-60,2D6-60all,2D6-60ligand,2D6-60docked,2D6-70,2D6-70all,2D6-70ligand,2D6-70docked,2D6-80,2D6-80all,2D6-80ligand,2D6-80docked,1A2-10,1A2-10all,1A2-10ligand,1A2-10docked,1A2-20,1A2-20all,1A2-20ligand,1A2-20docked,1A2-30,1A2-30all,1A2-30ligand,1A2-30docked,1A2-40,1A2-40all,1A2-40ligand,1A2-40docked,1A2-50,1A2-50all,1A2-50ligand,1A2-50docked,1A2-60,1A2-60all,1A2-60ligand,1A2-60docked,1A2-70,1A2-70all,1A2-70ligand,1A2-70docked,1A2-80,1A2-80all,1A2-80ligand,1A2-80docked,3A4-10,3A4-10all,3A4-10ligand,3A4-10docked,3A4-20,3A4-20all,3A4-20ligand,3A4-20docked,3A4-30,3A4-30all,3A4-30ligand,3A4-30docked,3A4-40,3A4-40all,3A4-40ligand,3A4-40docked,3A4-50,3A4-50all,3A4-50ligand,3A4-50docked,3A4-60,3A4-60all,3A4-60ligand,3A4-60docked,3A4-70,3A4-70all,3A4-70ligand,3A4-70docked,3A4-80,3A4-80all,3A4-80ligand,3A4-80docked
20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,
25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,
20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,20669,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,11525,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,6459,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,16249,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,,15368,,,
25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,25079,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,30873,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,39207,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25477,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,,25815,,,
0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6156633557328691,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.6868582600195503,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.5512369688341652,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.6769454157333774,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,,0.7414807387827167,,,
2254,,,,8447,,,,17861,,,,22455,,,,24856,,,,27134,,,,29775,,,,32425,,,,2310,,,,10726,,,,19522,,,,23506,,,,25354,,,,27191,,,,29152,,,,30855,,,,3165,,,,14863,,,,23296,,,,26869,,,,28687,,,,30322,,,,32035,,,,33570,,,,2330,,,,8956,,,,17298,,,,21112,,,,22953,,,,24931,,,,27274,,,,29513,,,,2068,,,,9023,,,,17547,,,,21596,,,,23907,,,,25807,,,,27773,,,,29530,,,
564,,,,2113,,,,4466,,,,5615,,,,6214,,,,6785,,,,7445,,,,8107,,,,579,,,,2682,,,,4881,,,,5878,,,,6340,,,,6798,,,,7288,,,,7715,,,,793,,,,3716,,,,5826,,,,6719,,,,7172,,,,7581,,,,8010,,,,8394,,,,583,,,,2239,,,,4325,,,,5279,,,,5740,,,,6234,,,,6820,,,,7379,,,,518,,,,2256,,,,4388,,,,5400,,,,5977,,,,6452,,,,6945,,,,7384,,,
,[0.75135135 0.63603604 0.65585586 0.83783784 0.86642599],,,,[0.73635371 0.57150655 0.72816594 0.79464773 0.82960131],,,,[0.72958398 0.67539805 0.66409861 0.74678993 0.865434  ],,,,[0.74964582 0.68569116 0.69277474 0.78648047 0.85020243],,,,[0.74417344 0.69990967 0.69443441 0.80032526 0.85399349],,,,[0.77464091 0.70876672 0.72027741 0.81522457 0.86079921],,,,[0.76171757 0.71666163 0.70547324 0.81282129 0.84971273],,,,[0.79650838 0.72877095 0.75167598 0.85712291 0.86675978],,,,[0.80481283 0.94385027 0.97192513 0.92235609 0.90227577],,,,[0.87121444 0.92688896 0.92474763 0.8684613  0.86077111],,,,[0.87331201 0.91027008 0.94793888 0.86993603 0.81058991],,,,[0.88795145 0.93368857 0.94656602 0.87759029 0.81024275],,,,[0.89166326 0.93109565 0.94896288 0.87322598 0.81673035],,,,[0.86937279 0.92816492 0.95004426 0.87327684 0.84836221],,,,[0.8811601  0.93327046 0.953195   0.85662068 0.87324608],,,,[0.90271897 0.93559171 0.9504123  0.84988298 0.88086482],,,,[0.78676471 0.96691176 0.95128676 0.96047794 0.96231618],,,,[0.91282238 0.98619437 0.97493188 0.98510445 0.97511353],,,,[0.91037072 0.98556846 0.97453948 0.98064062 0.96609175],,,,[0.91121831 0.98552807 0.97546705 0.981318   0.96858961],,,,[0.90290698 0.98236434 0.9747093  0.97868217 0.96569767],,,,[0.88993711 0.98187199 0.97188309 0.97891232 0.96587125],,,,[0.89975226 0.9739869  0.97159795 0.97407538 0.9630154 ],,,,[0.92282794 0.97044293 0.97112436 0.97742568 0.96456257],,,,[0.78525641 0.81730769 0.88942308 0.94060995 0.90850722],,,,[0.86376812 0.85879917 0.9051367  0.94117647 0.91176471],,,,[0.8678733  0.84838199 0.86218601 0.94455759 0.93120616],,,,[0.88802083 0.85695685 0.86179315 0.95572093 0.92911628],,,,[0.8990951  0.86716749 0.87021858 0.96055328 0.92964481],,,,[0.8902439  0.86126069 0.87313906 0.95770632 0.93489625],,,,[0.89156803 0.85941838 0.89505992 0.95980707 0.9424145 ],,,,[0.90653184 0.86990981 0.9141842  0.96351462 0.94192402],,,,[0.75       0.90895296 0.93019727 0.90591806 0.94992413],,,,[0.73345725 0.81486989 0.89591078 0.86463369 0.88880625],,,,[0.80950396 0.81283868 0.86786161 0.83764068 0.86202584],,,,[0.85968276 0.85201325 0.85724246 0.8459125  0.83943515],,,,[0.86557587 0.84838761 0.85673031 0.84004492 0.83860099],,,,[0.86525143 0.81885258 0.84264418 0.85122722 0.83014606],,,,[0.87609742 0.81688146 0.84124062 0.8546948  0.81135816],,,,[0.89642665 0.84508935 0.86685476 0.85637512 0.81244122],,
,0.7925531914893617,,,,0.7851396119261713,,,,0.7991491267353337,,,,0.8051647373107748,,,,0.8043128419697457,,,,0.8103168754605748,,,,0.8079247817327065,,,,0.8109041569014432,,,,0.770293609671848,,,,0.7829977628635347,,,,0.7650071706617496,,,,0.7856413746172167,,,,0.8033123028391167,,,,0.8031774051191527,,,,0.827661909989023,,,,0.8291639662994167,,,,0.8902900378310215,,,,0.9284176533907428,,,,0.9155509783728115,,,,0.9220122041970531,,,,0.9139709983268266,,,,0.9037066350085741,,,,0.9031210986267166,,,,0.9035025017869907,,,,0.7701543739279588,,,,0.8088432335864225,,,,0.8020809248554913,,,,0.803940140178064,,,,0.8127177700348432,,,,0.8208213025344883,,,,0.8162756598240469,,,,0.8201653340561051,,,,0.803088803088803,,,,0.7974290780141844,,,,0.7691431175934367,,,,0.7638888888888888,,,,0.7786514974067258,,,,0.7820830750154991,,,,0.7892008639308855,,,,0.7799295774647887,,
,0.8387096774193549,,,,0.878099173553719,,,,0.8641732283464567,,,,0.8574821852731591,,,,0.8562613430127042,,,,0.8612870956985662,,,,0.8595590456055572,,,,0.8686674008810573,,,,0.3153153153153153,,,,0.39436619718309857,,,,0.4996331621423331,,,,0.513595166163142,,,,0.5144968732234224,,,,0.47844827586206895,,,,0.5067941620533467,,,,0.5023741690408358,,,,0.5446428571428571,,,,0.46545454545454545,,,,0.5160642570281124,,,,0.5039745627980922,,,,0.5401662049861495,,,,0.5212636695018226,,,,0.5655391120507399,,,,0.5615530303030303,,,,0.5181347150259067,,,,0.6205479452054794,,,,0.6698656429942419,,,,0.6977592496091715,,,,0.7263107263107264,,,,0.7223436816790555,,,,0.7192292567833268,,,,0.7197860962566844,,,,0.49523809523809526,,,,0.5182608695652174,,,,0.6565874730021598,,,,0.6819184123484013,,,,0.7222489187890437,,,,0.721425467188179,,,,0.7491110233109443,,,,0.7418528011717319,,
